"Index","DOI","DOIResolverStatus","CrossrefType","Year","Venue","Title"
"15","10.3390/app152011086","HTTP/1.1 302 Found","journal-article","2025","Applied Sciences","VR-Based Teleoperation of UAV–Manipulator Systems: From Single-UAV Control to Dual-UAV Cooperative Manipulation"
"16","10.1145/3756884.3766010","HTTP/1.1 302 Found","proceedings-article","2025","Proceedings of the 2025 31st ACM Symposium on Virtual Reality Software and Technology","Unmanned Aerial Vehicles Control in a Digital Twin: Exploring the Effect of Different Points of View on User Experience in Virtual Reality"
"17","10.1016/j.vrih.2022.08.002","HTTP/1.1 302 Found","journal-article","2022","Virtual Reality &amp; Intelligent Hardware","Virtual-reality and intelligent hardware in digital twins"
"18","10.1016/j.vrih.2022.03.002","HTTP/1.1 302 Found","journal-article","2022","Virtual Reality &amp; Intelligent Hardware","Integrating digital twins and deep learning for medical image analysis in the era of COVID-19"
"19","10.1016/j.cirpj.2020.02.002","HTTP/1.1 302 Found","journal-article","2020","CIRP Journal of Manufacturing Science and Technology","Characterising the Digital Twin: A systematic literature review"
"20","10.1109/ACCESS.2019.2953499","HTTP/1.1 302 Found","journal-article","2019","IEEE Access","A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications"
"21","10.3390/asi4020036","HTTP/1.1 302 Found","journal-article","2021","Applied System Innovation","Digital Twin: Origin to Future"
"22","10.1016/j.comnet.2021.108366","HTTP/1.1 302 Found","journal-article","2021","Computer Networks","Beyond 5G for digital twins of UAVs"
"23","10.1109/MNET.011.2000388","HTTP/1.1 302 Found","journal-article","2021","IEEE Network","Toward Intelligent Cooperation of UAV Swarms: When Machine Learning Meets Digital Twin"
"24","10.1109/MWC.101.2100269","HTTP/1.1 302 Found","journal-article","2022","IEEE Wireless Communications","Semantic Communications: Overview, Open Issues, and Future Research Directions"
"25","10.1109/TSP.2021.3071210","HTTP/1.1 302 Found","journal-article","2021","IEEE Transactions on Signal Processing","Deep Learning Enabled Semantic Communication Systems"
"26","10.1109/JSAC.2021.3126087","HTTP/1.1 302 Found","journal-article","2022","IEEE Journal on Selected Areas in Communications","Learning Task-Oriented Communication for Edge Inference: An Information Bottleneck Approach"
"27","10.1109/TWC.2023.3314888","HTTP/1.1 302 Found","journal-article","2024","IEEE Transactions on Wireless Communications","Task-Oriented Communication for Edge Video Analytics"
"28","10.1109/TWC.2022.3191118","HTTP/1.1 302 Found","journal-article","2023","IEEE Transactions on Wireless Communications","Task-Oriented Communication for Multidevice Cooperative Edge Inference"
"29","10.3390/drones7100620","HTTP/1.1 302 Found","journal-article","2023","Drones","Real-Time Object Detection Based on UAV Remote Sensing: A Systematic Literature Review"
"30","10.1007/s10846-006-9088-7","HTTP/1.1 302 Found","journal-article","2006","Journal of Intelligent and Robotic Systems","Vision-based Target Geo-location using a Fixed-wing Miniature Air Vehicle"
"31","10.5194/isprsarchives-XLI-B6-243-2016","HTTP/1.1 302 Found","journal-article","2016","ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences","PRICISE TARGET GEOLOCATION AND TRACKING BASED ON UAV VIDEO IMAGERY"
"32","10.2514/1.33206","HTTP/1.1 302 Found","journal-article","2008","Journal of Guidance, Control, and Dynamics","Vision-Based Tracking and Motion Estimation for Moving Targets Using Unmanned Air Vehicles"
"33","10.3390/drones8050177","HTTP/1.1 302 Found","journal-article","2024","Drones","Improving Target Geolocation Accuracy with Multi-View Aerial Images in Long-Range Oblique Photography"
"34","10.1109/MCOM.2016.7470933","HTTP/1.1 302 Found","journal-article","2016","IEEE Communications Magazine","Wireless communications with unmanned aerial vehicles: opportunities and challenges"
"35","10.1109/COMST.2015.2495297","HTTP/1.1 302 Found","journal-article","2016","IEEE Communications Surveys &amp; Tutorials","Survey of Important Issues in UAV Communication Networks"
"36","10.1109/COMST.2016.2560343","HTTP/1.1 302 Found","journal-article","2016","IEEE Communications Surveys &amp; Tutorials","Survey on Unmanned Aerial Vehicle Networks for Civil Applications: A Communications Viewpoint"
"37","10.1109/MCOM.2018.1700666","HTTP/1.1 302 Found","journal-article","2018","IEEE Communications Magazine","Multi-Tier Drone Architecture for 5G/B5G Cellular Networks: Challenges, Trends, and Prospects"
"38","10.3390/drones9120811","HTTP/1.1 302 Found","journal-article","2025","Drones","Infrared and Visible Image Fusion Techniques for UAVs: A Comprehensive Review"
"39","10.1038/s41598-025-32314-1","HTTP/1.1 302 Found","journal-article","2026","Scientific Reports","An Improved Algorithm for Infrared Road Object Recognition in UAV Perspective"
"40","10.3390/electronics15030685","HTTP/1.1 302 Found","journal-article","2026","Electronics","LiDAR-RADAR Sensor Fusion and Telemetry Data Integration for Obstacle Detection Along the UAS Navigation Trajectory"
"41","DOT/FAA/AM-26/01","N/A","government-report","2026","Federal Aviation Administration","Operational and Human Factors Considerations for Synthetic Vision Systems and Head-Worn Displays: Results from a Literature Review and Survey"
"42","10.3390/drones9120812","HTTP/1.1 302 Found","journal-article","2025","Drones","Real-Time Long-Range Control of an Autonomous UAV Using 4G LTE Network"
"43","10.3390/s25020524","HTTP/1.1 302 Found","journal-article","2025","Sensors","Web Real-Time Communications-Based Unmanned-Aerial-Vehicle-Borne Internet of Things and Stringent Time Sensitivity: A Case Study"
"44","10.1038/s41598-026-41558-4","HTTP/1.1 302 Found","journal-article","2026","Scientific Reports","Fluctuations of End-to-End Delays in Low-Latency WebRTC-Based UAV-Borne Internet of Things Operating in an Urban Environment"
"45","10.3390/drones10030164","HTTP/1.1 302 Found","journal-article","2026","Drones","Experimental RSSI, SINR, and Throughput Analysis of Drone-Enabled UOC-RF Communication for Real-Time Underwater Video Streaming"
"46","10.3390/drones9060448","HTTP/1.1 302 Found","journal-article","2025","Drones","UAV-Enabled Video Streaming Architecture for Urban Air Mobility: A 6G-Based Approach Toward Low-Altitude 3D Transportation"
"47","arXiv:2605.27755","N/A","preprint","2026","arXiv","A Vertical Look at UAV Connectivity in the Wild: Cellular vs. Starlink, 3D Characterization, and Performance Prediction"
"48","10.1007/978-3-319-67361-5_40","HTTP/1.1 302 Found","book-chapter","2017","Springer Proceedings in Advanced Robotics | Field and Service Robotics","AirSim: High-Fidelity Visual and Physical Simulation for Autonomous Vehicles"
"49","10.1109/AIVR46125.2019.00060","HTTP/1.1 302 Found","proceedings-article","2019","2019 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR)","DroneVR: A Web Virtual Reality Simulator for Drone Operator"
"50","OGC 22-025r4","N/A","standard","2022","Open Geospatial Consortium","3D Tiles Specification"
"51","10.5194/isprs-archives-XLVIII-4-W15-2025-157-2025","HTTP/1.1 302 Found","proceedings-article","2025","The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences","3DTiler: A Tool to Georeference 3D Models and Generate 3D Tiles"
